@timestamp,agent.type,destination.bytes,destination.ip,destination.port,event.type,host.ip,host.os.version,network.packets,network.transport,network.type,source.ip,source.port
"Oct 23, 2022 @ 22:55:00.001",packetbeat,267.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,286",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:54:50.801",packetbeat,454.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,174",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:54:50.003",packetbeat,261.4KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,223",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:54:50.003",packetbeat,481.4KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,717",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:54:50.000",packetbeat,267.3KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,282",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:54:40.801",packetbeat,454KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,170",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:54:40.004",packetbeat,480.9KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,713",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:54:40.002",packetbeat,260.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,219",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:54:40.001",packetbeat,266.8KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,278",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:54:30.801",packetbeat,453.5KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,166",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:54:30.003",packetbeat,260.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,215",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:54:30.003",packetbeat,480.5KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,709",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:54:30.002",packetbeat,266.3KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,274",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:54:20.801",packetbeat,453.1KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,162",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:54:20.002",packetbeat,260KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,211",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:54:20.002",packetbeat,480KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,705",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:54:20.000",packetbeat,265.8KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,270",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:54:10.801",packetbeat,452.6KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,158",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:54:10.003",packetbeat,259.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,207",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:54:10.003",packetbeat,479.5KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,701",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:54:10.002",packetbeat,265.4KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,266",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:54:00.802",packetbeat,452.1KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,154",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:54:00.003",packetbeat,479KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,697",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:54:00.002",packetbeat,259KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,203",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:54:00.001",packetbeat,264.9KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,262",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:53:50.801",packetbeat,451.6KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,150",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:53:50.004",packetbeat,478.6KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,693",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:53:50.003",packetbeat,258.5KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,199",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:53:50.001",packetbeat,264.4KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,258",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:53:40.802",packetbeat,451.2KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,146",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:53:40.005",packetbeat,478.1KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,689",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:53:40.003",packetbeat,258.1KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,195",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:53:40.001",packetbeat,263.9KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,254",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:53:30.802",packetbeat,450.7KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,142",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:53:30.004",packetbeat,477.6KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,685",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:53:30.003",packetbeat,257.6KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,191",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:53:30.000",packetbeat,263.5KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,250",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:53:20.801",packetbeat,450.2KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,138",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:53:20.002",packetbeat,257.1KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,187",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:53:20.002",packetbeat,477.1KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,681",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:53:20.000",packetbeat,263KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,246",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:53:10.801",packetbeat,449.7KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,134",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:53:10.006",packetbeat,476.7KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,677",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:53:10.002",packetbeat,256.6KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,183",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:53:10.000",packetbeat,262.5KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,242",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:53:00.802",packetbeat,449.3KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,130",tcp,ipv4,172.16.0.2,49930
